Name,Victories,2nd Places,3rd Places,Pole Positions,Race Fastest Lap,World Championships,Nationaility
VALENTINO ROSSI,89,61,49,55,76,7,Italia
GIACOMO AGOSTINI,68,20,0,6,69,8,Italia
MARC MARQUEZ,57,29,10,62,57,6,Spagna
MICK DOOHAN,54,31,10,58,46,5,Australia
JORGE LORENZO,47,44,23,43,30,3,Spagna
CASEY STONER,38,11,20,39,29,2,Australia
MIKE HAILWOOD,37,9,2,0,37,4,Regno Unito
DANI PEDROSA,31,40,41,31,44,0,Spagna
EDDIE LAWSON,31,31,16,18,21,4,Stati Uniti
KEVIN SCHWANTZ,25,13,13,29,26,1,Stati Uniti
WAYNE RAINEY,24,22,18,15,22,3,Stati Uniti
KENNY ROBERTS,22,12,5,18,24,3,Stati Uniti
GEOFF DUKE,22,5,5,0,21,4,Regno Unito
JOHN SURTEES,22,2,0,0,20,4,Regno Unito
FREDDIE SPENCER,20,9,2,27,18,2,Stati Uniti
BARRY SHEENE,19,10,11,19,18,2,Regno Unito
WAYNE GARDNER,18,20,14,19,19,1,Australia
ANDREA DOVIZIOSO,15,21,26,7,11,0,Italia
ALEX CRIVILLE,15,16,20,9,14,1,Spagna
MAX BIAGGI,13,26,19,23,14,0,Italia
RANDY MAMOLA,13,22,19,5,12,0,Stati Uniti
PHIL READ,11,13,10,4,3,2,Regno Unito
LORIS CAPIROSSI,9,14,19,13,10,0,Italia
SETE GIBERNAU,9,14,7,13,8,0,Spagna
MAVERICK VIÃ‘ALES,9,7,12,13,10,0,Spagna
LUCA CADALORA,8,9,7,8,6,0,Italia
KENNY ROBERTS JR.,8,7,7,10,9,1,Stati Uniti
GARY HOCKING,8,1,2,0,10,1,Zambia
ALEX BARROS,7,11,14,5,14,0,Brasile
FABIO QUARTARARO,7,5,5,15,8,0,Francia
MARCO LUCCHINELLI,6,7,6,9,9,1,Italia
UMBERTO MASETTI,6,7,4,0,1,2,Italia
MARCO MELANDRI,5,6,9,0,3,0,Italia
LESLIE GRAHAM,5,3,0,0,6,1,Regno Unito
WIL HARTOG,5,2,5,0,2,0,Paesi Bassi
FRANCO UNCINI,5,1,5,1,1,1,Italia
TADAYUKI OKADA,4,10,7,7,7,0,Giappone
JOHN KOCINSKI,4,8,7,9,4,0,Stati Uniti
REG ARMSTRONG,4,6,6,0,1,0,Regno Unito
LIBERO LIBERATI,4,3,1,0,1,1,Italia
JOHN HARTLE,3,10,4,0,1,0,Regno Unito
JACK FINDLAY,3,9,12,1,1,0,Australia
DARYL BEATTIE,3,7,4,0,1,0,Australia
ALBERTO PAGANI,3,7,3,0,0,0,Italia
NICKY HAYDEN,3,6,19,5,7,1,Stati Uniti
CAL CRUTCHLOW,3,6,10,4,4,0,Regno Unito
ALEX RINS,3,6,3,0,5,0,Spagna
PAT HENNEN,3,5,4,0,0,0,Stati Uniti
NORICK ABE,3,4,10,0,1,0,Giappone
ALFREDO MILANI,3,4,2,0,3,0,Italia
JOHNNY CECOTTO,3,4,1,12,4,0,Venezuela
JACK MILLER,3,3,7,1,2,0,Australia
MIGUEL OLIVEIRA,3,2,0,1,2,0,Portogallo
GARRY MCCOY,3,1,6,1,1,0,Australia
FRANCO MORBIDELLI,3,1,2,2,1,0,Italia
CARLOS CHECA,2,14,8,3,5,0,Spagna
VIRGINIO FERRARI,2,6,2,1,3,0,Italia
DANILO PETRUCCI,2,4,4,0,2,0,Italia
RAY AMM,2,3,2,0,3,0,Regno Unito
NELLO PAGANI,2,2,5,0,2,0,Italia
MAKOTO TAMADA,2,1,2,3,2,0,Giappone
JACK MIDDELBURG,2,1,1,2,1,0,Paesi Bassi
FERGUS ANDERSON,2,1,0,0,2,0,Australia
JARNO SAARINEN,2,0,0,0,3,0,Finlandia
BRAD BINDER,2,0,0,0,2,0,Sudafrica
JIM REDMAN,2,0,0,0,1,0,Kenya
REMO VENTURI,1,9,1,0,2,0,Italia
TEUVO LANSIVUORI,1,6,4,7,5,0,Finlandia
BOB MCINTYRE,1,5,2,0,3,0,Regno Unito
JOAN MIR,1,4,6,0,1,1,Spagna
KEN KAVANAGH,1,4,4,0,3,0,Australia
ALAN SHEPHERD,1,4,4,0,0,0,Regno Unito
ANGELO BERGAMONTI,1,4,2,0,1,0,Italia
CHRISTIAN SARRON,1,3,14,6,6,0,Francia
TAKAZUMI KATAYAMA,1,3,4,0,2,0,Giappone
CHRIS VERMEULEN,1,3,3,3,1,0,Australia
GIANFRANCO BONERA,1,3,3,1,2,0,Italia
WILLIAM DORAN,1,3,1,0,0,0,Regno Unito
ANDREA IANNONE,1,2,8,2,3,0,Italia
TOHRU UKAWA,1,2,7,1,3,0,Giappone
BEN SPIES,1,2,3,1,1,0,Stati Uniti
TONI ELIAS,1,2,3,0,3,0,Spagna
JACK BRETT,1,2,3,0,1,0,Australia
DICKIE DALE,1,2,2,0,1,0,Regno Unito
HIDEO KANAYA,1,2,2,0,1,0,Giappone
DAVE SIMMONDS,1,2,2,0,0,0,Regno Unito
BOET VAN DULMEN,1,2,1,1,0,0,Paesi Bassi
JACK AHEARN,1,1,5,0,0,0,Stati Uniti
KIM NEWCOMBE,1,1,4,0,0,0,Regno Unito
PIERRE MONNERET,1,1,3,0,0,0,Francia
CHAS MORTIMER,1,1,2,0,0,0,Regno Unito
SIMON CRAFER,1,1,1,1,2,0,Australia
BENEDETTO CALDARELLA,1,1,1,0,2,0,Italia
JOHN WILLIAMS,1,1,1,0,1,0,Regno Unito